x   host1          host2 
1 4.59 GBytes 39.4 Gbits/sec       4.67 GBytes 40.1 Gbits/sec
2 3.47 GBytes 29.8 Gbits/sec       3.81 GBytes 32.7 Gbits/sec
3 4.36 GBytes 37.5 Gbits/sec       2.61 GBytes 22.4 Gbits/sec
4 4.58 GBytes 39.3 Gbits/sec       2.88 GBytes 24.8 Gbits/sec
5 4.06 GBytes 34.9 Gbits/sec       2.82 GBytes 24.2 Gbits/sec
6 3.59 GBytes 30.8 Gbits/sec       3.7 GBytes 31.8 Gbits/sec
7 2.93 GBytes 25.2 Gbits/sec       4.36 GBytes 37.5 Gbits/sec
8 2.07 GBytes 17.8 Gbits/sec       3.68 GBytes 31.6 Gbits/sec
9 3.38 GBytes 29.1 Gbits/sec       4.79 GBytes 41.2 Gbits/sec
10 4.59 GBytes 39.4 Gbits/sec       4.1 GBytes 35.2 Gbits/sec
11 4.63 GBytes 39.8 Gbits/sec       3.37 GBytes 28.9 Gbits/sec
12 4.34 GBytes 37.3 Gbits/sec       2.99 GBytes 25.6 Gbits/sec
13 3.87 GBytes 33.2 Gbits/sec       3.28 GBytes 28.2 Gbits/sec
14 4.07 GBytes 34.9 Gbits/sec       4.57 GBytes 39.3 Gbits/sec
15 3.86 GBytes 33.2 Gbits/sec       4.24 GBytes 36.4 Gbits/sec
16 4.1 GBytes 35.2 Gbits/sec       4.27 GBytes 36.6 Gbits/sec
17 3.98 GBytes 34.2 Gbits/sec       4.32 GBytes 37.1 Gbits/sec
18 4.7 GBytes 40.4 Gbits/sec       3.44 GBytes 29.5 Gbits/sec
19 3.56 GBytes 30.5 Gbits/sec       3.41 GBytes 29.3 Gbits/sec
20 2.51 GBytes 21.5 Gbits/sec       3.14 GBytes 27 Gbits/sec
21 3.64 GBytes 31.3 Gbits/sec       4.22 GBytes 36.3 Gbits/sec
22 4.33 GBytes 37.2 Gbits/sec       3.9 GBytes 33.5 Gbits/sec
23 3.1 GBytes 26.6 Gbits/sec       4.86 GBytes 41.8 Gbits/sec
24 5.22 GBytes 44.9 Gbits/sec       2.63 GBytes 22.6 Gbits/sec
25 4.88 GBytes 41.9 Gbits/sec       3.14 GBytes 27 Gbits/sec
26 4.38 GBytes 37.7 Gbits/sec       4.54 GBytes 39 Gbits/sec
